Ocuarb_v01_G000425.t0	Ocuarb_v01_G000425
Ocuarb_v01_G000426.t0	Ocuarb_v01_G000426
Ocuarb_v01_G000427.t0	Ocuarb_v01_G000427
Ocuarb_v01_G000428.t0	Ocuarb_v01_G000428
Ocuarb_v01_G000429.t0	Ocuarb_v01_G000429
Ocuarb_v01_G000430.t0	Ocuarb_v01_G000430
Ocuarb_v01_G000431.t0	Ocuarb_v01_G000431
Ocuarb_v01_G000432.t0	Ocuarb_v01_G000432
Ocuarb_v01_G000433.t0	Ocuarb_v01_G000433
Ocuarb_v01_G000434.t0	Ocuarb_v01_G000434
Ocuarb_v01_G000435.t0	Ocuarb_v01_G000435
Ocuarb_v01_G000436.t0	Ocuarb_v01_G000436
Ocuarb_v01_G000437.t0	Ocuarb_v01_G000437
Ocuarb_v01_G000438.t0	Ocuarb_v01_G000438
Ocuarb_v01_G000439.t0	Ocuarb_v01_G000439
Ocuarb_v01_G000440.t0	Ocuarb_v01_G000440
Ocuarb_v01_G000441.t0	Ocuarb_v01_G000441
Ocuarb_v01_G000442.t0	Ocuarb_v01_G000442
Ocuarb_v01_G000443.t0	Ocuarb_v01_G000443
Ocuarb_v01_G000444.t0	Ocuarb_v01_G000444
Ocuarb_v01_G000445.t0	Ocuarb_v01_G000445
Ocuarb_v01_G000446.t0	Ocuarb_v01_G000446
Ocuarb_v01_G000447.t0	Ocuarb_v01_G000447
Ocuarb_v01_G000448.t0	Ocuarb_v01_G000448
Ocuarb_v01_G000449.t0	Ocuarb_v01_G000449
Ocuarb_v01_G000450.t0	Ocuarb_v01_G000450
Ocuarb_v01_G000451.t0	Ocuarb_v01_G000451
