Xesp_000557-T1	Xesp_000557
Xesp_000558-T1	Xesp_000558
Xesp_000559-T1	Xesp_000559
Xesp_000560-T1	Xesp_000560
Xesp_000561-T1	Xesp_000561
Xesp_000563-T1	Xesp_000563
Xesp_000564-T1	Xesp_000564
Xesp_000565-T1	Xesp_000565
Xesp_000566-T1	Xesp_000566
Xesp_000567-T1	Xesp_000567
Xesp_000568-T1	Xesp_000568
Xesp_000569-T1	Xesp_000569
Xesp_000570-T1	Xesp_000570
Xesp_000571-T1	Xesp_000571
Xesp_000572-T1	Xesp_000572
Xesp_000573-T1	Xesp_000573
Xesp_000574-T1	Xesp_000574
Xesp_000575-T1	Xesp_000575
Xesp_000576-T1	Xesp_000576
Xesp_000577-T1	Xesp_000577
Xesp_000578-T1	Xesp_000578
Xesp_000579-T1	Xesp_000579
Xesp_000580-T2	Xesp_000580
Xesp_000581-T1	Xesp_000581
Xesp_000582-T2	Xesp_000582
Xesp_000584-T1	Xesp_000584
Xesp_000585-T1	Xesp_000585
Xesp_000586-T1	Xesp_000586
Xesp_000587-T1	Xesp_000587
Xesp_000588-T1	Xesp_000588
Xesp_000589-T1	Xesp_000589
Xesp_000590-T1	Xesp_000590
Xesp_000591-T1	Xesp_000591
Xesp_000592-T1	Xesp_000592
Xesp_000593-T1	Xesp_000593
Xesp_000594-T1	Xesp_000594
Xesp_000595-T1	Xesp_000595
Xesp_000596-T1	Xesp_000596
Xesp_000597-T1	Xesp_000597
Xesp_000598-T1	Xesp_000598
Xesp_000599-T1	Xesp_000599
Xesp_000600-T1	Xesp_000600
Xesp_000601-T1	Xesp_000601
Xesp_000602-T1	Xesp_000602
Xesp_000603-T1	Xesp_000603
Xesp_000604-T1	Xesp_000604
Xesp_000605-T1	Xesp_000605
Xesp_000606-T1	Xesp_000606
Xesp_000607-T1	Xesp_000607
Xesp_000608-T1	Xesp_000608
Xesp_000609-T1	Xesp_000609
Xesp_000610-T1	Xesp_000610
Xesp_000611-T1	Xesp_000611
Xesp_000612-T1	Xesp_000612
Xesp_000613-T1	Xesp_000613
Xesp_000614-T1	Xesp_000614
Xesp_000615-T1	Xesp_000615
Xesp_000616-T1	Xesp_000616
Xesp_000617-T1	Xesp_000617
Xesp_000618-T1	Xesp_000618
Xesp_000619-T1	Xesp_000619
Xesp_000620-T1	Xesp_000620
Xesp_000621-T1	Xesp_000621
Xesp_000622-T1	Xesp_000622
Xesp_000623-T1	Xesp_000623
Xesp_000624-T1	Xesp_000624
Xesp_000625-T1	Xesp_000625
Xesp_000626-T1	Xesp_000626
Xesp_000627-T1	Xesp_000627
Xesp_000628-T1	Xesp_000628
Xesp_000629-T1	Xesp_000629
Xesp_000630-T1	Xesp_000630
Xesp_000631-T1	Xesp_000631
Xesp_000632-T1	Xesp_000632
Xesp_000647-T1	Xesp_000647
Xesp_000648-T1	Xesp_000648
Xesp_000649-T1	Xesp_000649
Xesp_000650-T1	Xesp_000650
Xesp_000651-T1	Xesp_000651
Xesp_000655-T1	Xesp_000655
Xesp_000656-T1	Xesp_000656
Xesp_000657-T1	Xesp_000657
Xesp_000658-T1	Xesp_000658
Xesp_000659-T1	Xesp_000659
Xesp_000660-T1	Xesp_000660
Xesp_000661-T1	Xesp_000661
Xesp_000662-T1	Xesp_000662
Xesp_000663-T1	Xesp_000663
Xesp_000664-T1	Xesp_000664
Xesp_000665-T1	Xesp_000665
Xesp_000666-T1	Xesp_000666
Xesp_000667-T1	Xesp_000667
Xesp_000668-T1	Xesp_000668
Xesp_000669-T1	Xesp_000669
Xesp_000670-T1	Xesp_000670
Xesp_000671-T1	Xesp_000671
Xesp_000672-T2	Xesp_000672
Xesp_000673-T1	Xesp_000673
Xesp_000674-T1	Xesp_000674
Xesp_000675-T1	Xesp_000675
Xesp_000676-T1	Xesp_000676
Xesp_000677-T1	Xesp_000677
Xesp_000678-T1	Xesp_000678
Xesp_000679-T1	Xesp_000679
Xesp_000680-T1	Xesp_000680
Xesp_000681-T1	Xesp_000681
Xesp_000682-T1	Xesp_000682
Xesp_000683-T1	Xesp_000683
Xesp_000684-T1	Xesp_000684
Xesp_000685-T1	Xesp_000685
Xesp_000686-T1	Xesp_000686
Xesp_000687-T1	Xesp_000687
Xesp_000688-T1	Xesp_000688
Xesp_000689-T1	Xesp_000689
Xesp_000690-T1	Xesp_000690
Xesp_000691-T1	Xesp_000691
Xesp_000692-T2	Xesp_000692
Xesp_000693-T1	Xesp_000693
Xesp_000694-T1	Xesp_000694
Xesp_000695-T1	Xesp_000695
Xesp_000696-T1	Xesp_000696
Xesp_000697-T1	Xesp_000697
Xesp_000698-T1	Xesp_000698
Xesp_000699-T1	Xesp_000699
Xesp_000700-T1	Xesp_000700
Xesp_000701-T1	Xesp_000701
Xesp_000702-T1	Xesp_000702
Xesp_000703-T1	Xesp_000703
Xesp_000704-T1	Xesp_000704
Xesp_000705-T1	Xesp_000705
Xesp_000706-T1	Xesp_000706
Xesp_000707-T1	Xesp_000707
Xesp_000708-T1	Xesp_000708
Xesp_000709-T1	Xesp_000709
Xesp_000710-T1	Xesp_000710
Xesp_000711-T1	Xesp_000711
Xesp_000712-T2	Xesp_000712
Xesp_000713-T1	Xesp_000713
Xesp_000714-T1	Xesp_000714
Xesp_000715-T1	Xesp_000715
Xesp_000716-T1	Xesp_000716
Xesp_000717-T1	Xesp_000717
Xesp_000718-T1	Xesp_000718
Xesp_000719-T1	Xesp_000719
Xesp_000720-T1	Xesp_000720
Xesp_000721-T1	Xesp_000721
Xesp_000722-T1	Xesp_000722
Xesp_000723-T1	Xesp_000723
Xesp_000724-T1	Xesp_000724
Xesp_000725-T1	Xesp_000725
Xesp_000726-T1	Xesp_000726
Xesp_000727-T1	Xesp_000727
Xesp_000728-T1	Xesp_000728
Xesp_000729-T1	Xesp_000729
Xesp_000730-T1	Xesp_000730
Xesp_000731-T1	Xesp_000731
Xesp_000732-T1	Xesp_000732
Xesp_000733-T1	Xesp_000733
Xesp_000734-T1	Xesp_000734
Xesp_000735-T1	Xesp_000735
Xesp_000736-T1	Xesp_000736
Xesp_000737-T1	Xesp_000737
Xesp_000738-T1	Xesp_000738
Xesp_000739-T1	Xesp_000739
Xesp_000740-T1	Xesp_000740
Xesp_000741-T1	Xesp_000741
Xesp_000742-T1	Xesp_000742
Xesp_000743-T1	Xesp_000743
Xesp_000744-T1	Xesp_000744
Xesp_000745-T1	Xesp_000745
Xesp_000746-T1	Xesp_000746
Xesp_000747-T1	Xesp_000747
Xesp_000748-T1	Xesp_000748
Xesp_000749-T1	Xesp_000749
Xesp_000750-T1	Xesp_000750
Xesp_000751-T1	Xesp_000751
Xesp_000752-T1	Xesp_000752
Xesp_000753-T1	Xesp_000753
Xesp_000754-T1	Xesp_000754
Xesp_000755-T1	Xesp_000755
Xesp_000756-T1	Xesp_000756
Xesp_000757-T1	Xesp_000757
Xesp_000758-T1	Xesp_000758
Xesp_000759-T1	Xesp_000759
Xesp_000760-T1	Xesp_000760
Xesp_000761-T1	Xesp_000761
Xesp_000762-T1	Xesp_000762
Xesp_000763-T1	Xesp_000763
Xesp_000764-T1	Xesp_000764
Xesp_000765-T1	Xesp_000765
Xesp_000766-T1	Xesp_000766
Xesp_000767-T1	Xesp_000767
Xesp_000768-T1	Xesp_000768
Xesp_000769-T1	Xesp_000769
Xesp_000770-T1	Xesp_000770
Xesp_000771-T1	Xesp_000771
Xesp_000772-T1	Xesp_000772
Xesp_000773-T1	Xesp_000773
Xesp_000774-T1	Xesp_000774
Xesp_000775-T1	Xesp_000775
Xesp_000776-T1	Xesp_000776
