metacell	metacell_annotation	color	metacell_top_cell_type	metacell_ann_cell_type	metacell_top_leiden	metacell_ann_leiden
mc.0024	epidermis_like_1	cadetblue3	epidermis_like_1	epidermis_like_1|0.49;gastrodermis|0.18;digestive_filaments|0.11;digestive_filaments_like|0.09;muscle|0.07;gastrodermis_muscle_parietal_circular_prog|0.05	lc001	lc001|0.42;lc044|0.16;lc029|0.09;lc009|0.07;lc004|0.07;lc018|0.05;lc005|0.05;lc027|0.05
mc.0084	epidermis_like_1	cadetblue3	epidermis_like_1	epidermis_like_1|0.77;gastrodermis|0.14;epidermis|0.07	lc001	lc001|0.77;lc037|0.09;lc015|0.07
mc.0076	epidermis_like_1	cadetblue3	epidermis_like_1	epidermis_like_1|0.61;neuron_19|0.14;neuron_18|0.08;neuron_30_peptidergic|0.08;digestive_filaments|0.06	lc001	lc001|0.43;lc004|0.18;lc008|0.14;lc036|0.08;lc026|0.08;lc027|0.06
mc.0154	epidermis_like_1	cadetblue3	epidermis_like_1	epidermis_like_1|0.61;gastrodermis_muscle_parietal_circular_prog|0.33	lc004	lc004|0.60;lc018|0.33
mc.0038	epidermis_like_1	cadetblue3	epidermis_like_1	epidermis_like_1|0.51;gastrodermis_muscle_parietal_circular_prog|0.45	lc004	lc004|0.49;lc018|0.39;lc032|0.06
mc.0145	epidermis_like_1	cadetblue3	epidermis_like_1	epidermis_like_1|0.98	lc004	lc004|0.89;lc001|0.08
mc.0219	epidermis_like_1	cadetblue3	epidermis_like_1	epidermis_like_1|0.48;gland_26|0.18;gland_1|0.10;epidermis|0.08	lc004	lc004|0.34;lc019|0.18;lc001|0.13;lc024|0.10;lc038|0.08
mc.0011	epidermis_like_1	cadetblue3	epidermis_like_1	epidermis_like_1|0.81;neuron_18|0.09	lc004	lc004|0.80;lc036|0.08
mc.0052	epidermis_like_1	cadetblue3	epidermis_like_1	epidermis_like_1|0.75;gastrodermis|0.19	lc004	lc004|0.73;lc037|0.05;lc044|0.05
mc.0198	epidermis_like_1	cadetblue3	epidermis_like_1	epidermis_like_1|0.77;epidermis|0.15;gland_unknown_1|0.07	lc004	lc004|0.74;lc038|0.15;lc047|0.07
mc.0199	epidermis_like_1	cadetblue3	epidermis_like_1	epidermis_like_1|0.69;gastrodermis|0.10;neuron_19|0.09	lc004	lc004|0.59;lc001|0.10;lc008|0.09;lc044|0.06
mc.0069	epidermis_like_2	cadetblue4	epidermis_like_2	epidermis_like_2|0.61;gastrodermis|0.26	lc028	lc028|0.61;lc037|0.25
mc.0185	epidermis_like_2	cadetblue4	epidermis_like_2	epidermis_like_2|0.95	lc028	lc028|0.95
mc.0031	epidermis_like_2	cadetblue4	epidermis_like_2	epidermis_like_2|0.77;gastrodermis|0.17;neurosecretory_progenitors|0.06	lc028	lc028|0.77;lc037|0.17;lc025|0.06
mc.0228	epidermis_like_2	cadetblue4	epidermis_like_2	epidermis_like_2|0.72;neurosecretory_progenitors|0.28	lc028	lc028|0.72;lc025|0.28
mc.0211	neurosecretory_progenitors	slategray3	neurosecretory_progenitors	neurosecretory_progenitors|0.60;epidermis_like_2|0.17;digestive_filaments_like|0.15;epidermis_like_1|0.08	lc025	lc025|0.60;lc028|0.17;lc042|0.15;lc001|0.08
mc.0127	neurosecretory_progenitors	slategray3	neurosecretory_progenitors	neurosecretory_progenitors|0.78;epidermis_like_2|0.21	lc025	lc025|0.78;lc028|0.21
mc.0137	neurosecretory_progenitors	slategray3	neurosecretory_progenitors	neurosecretory_progenitors|0.94	lc025	lc025|0.94
mc.0073	neurosecretory_progenitors	slategray3	neurosecretory_progenitors	neurosecretory_progenitors|0.62;epidermis|0.19;epidermis_like_2|0.16	lc025	lc025|0.62;lc028|0.16;lc015|0.14
mc.0136	neurosecretory_progenitors	slategray3	neurosecretory_progenitors	neurosecretory_progenitors|0.81;epidermis_like_2|0.19	lc025	lc025|0.81;lc028|0.19
mc.0138	neuron_2_precursors	royalblue1	neuron_2_precursors	neuron_2_precursors|0.88	lc021	lc021|0.88
mc.0054	neuron_2_precursors	royalblue1	neuron_2_precursors	neuron_2_precursors|0.80;epidermis_like_2|0.07;neurosecretory_progenitors|0.05	lc021	lc021|0.80;lc028|0.07;lc025|0.05
mc.0128	neuron_2_precursors	royalblue1	neuron_2_precursors	neuron_2_precursors|0.49;neuron_7|0.41;neuron_13|0.06	lc021	lc021|0.49;lc007|0.26;lc030|0.15;lc016|0.06
mc.0049	neuron_2_precursors	royalblue1	neuron_2_precursors	neuron_2_precursors|0.92;neuron_7|0.08	lc021	lc021|0.92;lc030|0.08
mc.0153	neuron_2_precursors	royalblue1	neuron_2_precursors	neuron_2_precursors|0.90;neuron_7|0.07	lc021	lc021|0.90;lc030|0.07
mc.0007	neuron_4	royalblue1	neuron_4	neuron_4|0.87;neuron_13|0.05	lc051	lc051|0.87;lc016|0.05
mc.0209	neuron_4	royalblue1	neuron_4	neuron_4|0.85;neuron_2_precursors|0.14	lc051	lc051|0.85;lc021|0.14
mc.0092	neuron_7	royalblue1	neuron_7	neuron_7|0.56;neuron_19|0.44	lc007	lc007|0.55;lc003|0.42
mc.0225	neuron_7	royalblue1	neuron_7	neuron_7|0.94	lc007	lc007|0.87;lc030|0.07
mc.0099	neuron_7	royalblue1	neuron_7	neuron_7|0.90;neuron_16_peptidergic|0.07	lc007	lc007|0.74;lc030|0.16;lc013|0.07
mc.0080	neuron_7	royalblue1	neuron_7	neuron_7|0.94;neuron_19|0.06	lc007	lc007|0.94;lc003|0.06
mc.0159	neuron_7	royalblue1	neuron_7	neuron_7|0.96	lc007	lc007|0.94
mc.0009	neuron_7	royalblue1	neuron_7	neuron_7|0.90;neuron_13|0.08	lc007	lc007|0.79;lc030|0.11;lc016|0.08
mc.0101	neuron_7	royalblue1	neuron_7	neuron_7|0.97	lc007	lc007|0.97
mc.0131	neuron_7	royalblue1	neuron_7	neuron_7|0.83;neuron_19|0.17	lc007	lc007|0.71;lc003|0.15;lc030|0.12
mc.0231	neuron_7	royalblue1	neuron_7	neuron_7|0.67;epidermis_like_1|0.18;neuron_18|0.06	lc030	lc030|0.64;lc001|0.09;lc004|0.09;lc036|0.06
mc.0223	neuron_13	royalblue1	neuron_13	neuron_13|0.29;neuron_16_peptidergic|0.17;digestive_filaments_like|0.14;neuron_7|0.12;epidermis_like_1|0.11;neuron_19|0.06	lc016	lc016|0.29;lc013|0.17;lc042|0.12;lc030|0.12;lc001|0.11;lc008|0.06
mc.0008	neuron_13	royalblue1	neuron_13	neuron_13|0.71;neuron_7|0.23	lc016	lc016|0.71;lc030|0.22
mc.0002	neuron_13	royalblue1	neuron_13	neuron_13|0.75;neuron_7|0.15;neurosecretory_progenitors|0.06	lc016	lc016|0.75;lc030|0.15;lc025|0.06
mc.0169	neuron_13	royalblue1	neuron_13	neuron_13|0.78;neuron_7|0.11;gland_1|0.05	lc016	lc016|0.78;lc030|0.11;lc024|0.05
mc.0214	neuron_13	royalblue1	neuron_13	neuron_13|0.85;neuron_7|0.12	lc016	lc016|0.85;lc030|0.12
mc.0070	neuron_13	royalblue1	neuron_13	neuron_13|0.82;neuron_7|0.18	lc016	lc016|0.82;lc030|0.13;lc007|0.05
mc.0229	neuron_13	royalblue1	neuron_13	neuron_13|0.57;neuron_7|0.40	lc016	lc016|0.57;lc007|0.30;lc030|0.10
mc.0165	neuron_13	royalblue1	neuron_13	neuron_13|0.56;neuron_7|0.19;epidermis|0.15	lc016	lc016|0.56;lc030|0.16;lc011|0.15
mc.0006	neuron_18	royalblue2	neuron_18	neuron_18|0.94	lc002	lc002|0.87;lc036|0.07
mc.0016	neuron_18	royalblue2	neuron_18	neuron_18|0.99	lc002	lc002|0.57;lc036|0.42
mc.0125	neuron_18	royalblue2	neuron_18	neuron_18|0.35;neuron_19|0.26;neuron_7|0.12;neuron_30_peptidergic|0.11;epidermis_like_1|0.05	lc002	lc002|0.25;lc008|0.23;lc030|0.12;lc036|0.11;lc026|0.09
mc.0226	neuron_18	royalblue2	neuron_18	neuron_18|0.94	lc002	lc002|0.74;lc036|0.21
mc.0096	neuron_18	royalblue2	neuron_18	neuron_18|1.00	lc002	lc002|0.90;lc036|0.10
mc.0192	neuron_18	royalblue2	neuron_18	neuron_18|0.84;neuron_36_peptidergic|0.12	lc002	lc002|0.61;lc036|0.23;lc017|0.12
mc.0191	neuron_18	royalblue2	neuron_18	neuron_18|0.90;neuron_19|0.07	lc002	lc002|0.76;lc036|0.13;lc008|0.06
mc.0183	neuron_18	royalblue2	neuron_18	neuron_18|0.98	lc002	lc002|0.87;lc036|0.10
mc.0230	neuron_18	royalblue2	neuron_18	neuron_18|0.98	lc002	lc002|0.92;lc036|0.06
mc.0118	neuron_18	royalblue2	neuron_18	neuron_18|0.96	lc036	lc036|0.54;lc002|0.42
mc.0182	neuron_18	royalblue2	neuron_18	neuron_18|0.82;gastrodermis|0.07;epidermis_like_1|0.05	lc036	lc036|0.47;lc002|0.35
mc.0166	neuron_19	royalblue3	neuron_19	neuron_19|0.93;neuron_30_peptidergic|0.07	lc003	lc003|0.86;lc008|0.07;lc026|0.07
mc.0196	neuron_19	royalblue3	neuron_19	neuron_19|0.97	lc003	lc003|0.92
mc.0023	neuron_19	royalblue3	neuron_19	neuron_19|0.70;neuron_7|0.24	lc003	lc003|0.57;lc007|0.22;lc008|0.13
mc.0142	neuron_19	royalblue3	neuron_19	neuron_19|0.98	lc003	lc003|0.78;lc008|0.20
mc.0104	neuron_19	royalblue3	neuron_19	neuron_19|0.68;gland_17|0.22;neuron_30_peptidergic|0.08	lc003	lc003|0.42;lc008|0.26;lc041|0.22;lc026|0.06
mc.0022	neuron_19	royalblue3	neuron_19	neuron_19|1.00	lc003	lc003|0.95
mc.0168	neuron_19	royalblue3	neuron_19	neuron_19|0.95	lc003	lc003|0.80;lc008|0.16
mc.0177	neuron_19	royalblue3	neuron_19	neuron_19|0.98	lc003	lc003|0.75;lc008|0.23
mc.0044	neuron_19	royalblue3	neuron_19	neuron_19|0.65;cnidocyte_nematocytes|0.12;gland_16|0.08	lc003	lc003|0.38;lc008|0.27;lc023|0.12;lc022|0.08
mc.0217	neuron_19	royalblue3	neuron_19	neuron_19|0.58;gland_16|0.30	lc008	lc008|0.50;lc022|0.30;lc003|0.08
mc.0017	neuron_19	royalblue3	neuron_19	neuron_19|0.76;neuron_30_peptidergic|0.08	lc008	lc008|0.67;lc003|0.10;lc026|0.08
mc.0133	neuron_19	royalblue3	neuron_19	neuron_19|0.84;gland_26|0.12	lc008	lc008|0.63;lc003|0.22;lc019|0.12
mc.0102	neuron_19	royalblue3	neuron_19	neuron_19|0.95	lc008	lc008|0.61;lc003|0.34
mc.0111	neuron_28_motor	royalblue4	neuron_28_motor	neuron_28_motor|0.99	lc014	lc014|0.99
mc.0195	neuron_28_motor	royalblue4	neuron_28_motor	neuron_28_motor|0.96	lc014	lc014|0.96
mc.0056	neuron_28_motor	royalblue4	neuron_28_motor	neuron_28_motor|0.33;neuron_18|0.31;gland_16|0.17;epidermis_like_1|0.06;neuron_19|0.06	lc014	lc014|0.33;lc002|0.22;lc022|0.17;lc036|0.09;lc008|0.06
mc.0058	neuron_28_motor	royalblue4	neuron_28_motor	neuron_28_motor|1.00	lc014	lc014|1.00
mc.0180	neuron_28_motor	royalblue4	neuron_28_motor	neuron_28_motor|0.98	lc014	lc014|0.98
mc.0061	neuron_28_motor	royalblue4	neuron_28_motor	neuron_28_motor|0.75;neuron_2_precursors|0.16;neuron_7|0.05	lc014	lc014|0.75;lc021|0.16;lc030|0.05
